Year,Australian_City,Foreign_City,Direction,Metric,Value
2024,Brisbane,Los Angeles,Outbound,Passengers,4725
2024,Brisbane,Manila,Outbound,Passengers,2910
2024,Brisbane,Munda,Outbound,Passengers,70
2024,Brisbane,Nadi,Outbound,Passengers,10248
2024,Brisbane,Nauru,Outbound,Passengers,587
2024,Brisbane,Noumea,Outbound,Passengers,1017
2024,Brisbane,Osaka,Outbound,Passengers,4350
2024,Brisbane,Palau,Outbound,Passengers,31
2024,Brisbane,Port Moresby,Outbound,Passengers,6044
2024,Brisbane,Port Vila,Outbound,Passengers,3272
2024,Brisbane,Queenstown,Outbound,Passengers,3414
2024,Brisbane,San Francisco,Outbound,Passengers,3032
2024,Brisbane,Seoul,Outbound,Passengers,6731
2024,Brisbane,Shanghai,Outbound,Passengers,2414
2024,Brisbane,Singapore,Outbound,Passengers,34588
2024,Brisbane,Taipei,Outbound,Passengers,6850
2024,Brisbane,Tokyo,Outbound,Passengers,12321
2024,Brisbane,Vancouver,Outbound,Passengers,6964
2024,Brisbane,Wellington,Outbound,Passengers,6248
2024,Broome,Singapore,Outbound,Passengers,0
2024,Broome,Total,Outbound,Passengers,0
2024,Cairns,Auckland,Outbound,Passengers,1110
2024,Cairns,Christchurch,Outbound,Passengers,0
2024,Cairns,Denpasar,Outbound,Passengers,3031
2024,Cairns,Nadi,Outbound,Passengers,0
2024,Cairns,Osaka,Outbound,Passengers,3891
2024,Cairns,Port Moresby,Outbound,Passengers,1316
2024,Cairns,Singapore,Outbound,Passengers,4424
2024,Cairns,Tokyo,Outbound,Passengers,9814
2024,Canberra,Nadi,Outbound,Passengers,1085
2024,Darwin,Denpasar,Outbound,Passengers,3498
2024,Darwin,Dili,Outbound,Passengers,1155
2024,Darwin,Singapore,Outbound,Passengers,4194
2024,Gold Coast,Auckland,Outbound,Passengers,12600
2024,Gold Coast,Christchurch,Outbound,Passengers,2990
2024,Gold Coast,Denpasar,Outbound,Passengers,2602
2024,Gold Coast,Queenstown,Outbound,Passengers,1552
2024,Gold Coast,Wellington,Outbound,Passengers,2189
2024,Melbourne,Abu Dhabi,Outbound,Passengers,8964
2024,Melbourne,Auckland,Outbound,Passengers,35924
