Foreign_City,Australian_City,Pax_2024_In,Pax_2024_Out,Pax_2025_In,Pax_2025_Out,Freight_2024_In_t,Freight_2024_Out_t,Freight_2025_In_t,Freight_2025_Out_t,Is_Total_Row
Colombo,Sydney,2986.0,2512.0,4454.0,4084.0,80.9,39.9,96.0,104.9,False
Dallas,Sydney,5274.0,6203.0,5758.0,5925.0,80.5,3.5,73.6,1.1,False
Denpasar,Sydney,35058.0,36716.0,35985.0,36804.0,302.1,236.7,401.2,171.4,False
Doha,Sydney,11790.0,15419.0,12740.0,15909.0,745.6,222.9,170.5,179.1,False
Dubai,Sydney,26998.0,39256.0,28390.0,39811.0,1103.8,706.0,1068.2,754.2,False
Gaborone,Sydney,0.0,0.0,0.0,0.0,0.0,67.5,0.0,0.0,False
Guangzhou,Sydney,15180.0,16769.0,14730.0,15828.0,717.7,1275.9,1853.8,723.3,False
Haikou,Sydney,2774.0,3495.0,3166.0,3754.0,147.4,45.8,293.1,15.8,False
Hangzhou,Sydney,1080.0,984.0,1161.0,1036.0,41.8,3.5,41.2,0.0,False
Hanoi,Sydney,2398.0,2701.0,4666.0,4468.0,124.8,64.6,256.9,63.0,False
Ho Chi Minh City,Sydney,14677.0,14139.0,15942.0,14903.0,606.4,147.1,554.6,84.3,False
Hong Kong,Sydney,25967.0,28926.0,35823.0,37598.0,4137.0,1551.8,3531.8,1105.2,False
Honolulu,Sydney,13557.0,11542.0,12876.0,11188.0,2056.9,386.0,1987.7,273.9,False
Istanbul,Sydney,0.0,0.0,2445.0,4077.0,0.0,0.0,143.8,112.7,False
Jakarta,Sydney,9358.0,10246.0,7867.0,7449.0,321.0,363.0,234.5,75.8,False
Jinan,Sydney,1271.0,738.0,935.0,851.0,139.2,2.6,109.3,0.3,False
Johannesburg,Sydney,4922.0,5151.0,6655.0,6781.0,76.3,10.2,90.1,2.7,False
Kuala Lumpur,Sydney,18110.0,17448.0,18929.0,17598.0,1310.5,668.3,1430.9,399.4,False
London,Sydney,9026.0,11364.0,7906.0,10665.0,297.8,48.0,300.8,28.4,False
Los Angeles,Sydney,29100.0,28225.0,30505.0,27416.0,931.7,1394.2,1239.4,911.8,False
Louisville,Sydney,0.0,0.0,0.0,0.0,1219.1,0.0,1215.8,0.0,False
Manila,Sydney,17882.0,16627.0,20666.0,18006.0,511.6,354.7,760.8,301.0,False
Nadi,Sydney,24052.0,24207.0,24551.0,24282.0,271.9,363.0,323.0,310.2,False
Nanjing,Sydney,1801.0,1772.0,1927.0,1729.0,212.9,2.3,184.2,6.7,False
New Delhi,Sydney,6930.0,6284.0,7065.0,6470.0,102.3,252.5,247.2,227.6,False
New York,Sydney,1311.0,1395.0,1481.0,1470.0,190.0,6.8,109.3,6.0,False
Noumea,Sydney,1565.0,1465.0,3141.0,2592.0,0.4,24.0,3.5,42.7,False
Osaka,Sydney,3173.0,3433.0,3839.0,4149.0,33.8,3.2,104.0,18.9,False
Paris,Sydney,0.0,0.0,485.0,865.0,0.0,0.0,33.6,0.1,False
Phuket,Sydney,4079.0,4117.0,4128.0,4026.0,97.8,0.3,109.0,0.1,False
Port Moresby,Sydney,1026.0,943.0,585.0,432.0,0.3,1.6,0.5,2.8,False
