Year,Month,YearMonthDate,Airline_Name,Service_Region,Direction,Flights,Passengers,Seats_Available,Seat_Utilisation,Is_Total_AllServices
2025,5,2025-05-01,Qatar Airways,Qatar,Outbound,187.0,69792.0,73001.0,0.956,False
2025,5,2025-05-01,Royal Brunei Airlines,Brunei,Outbound,23.0,2691.0,5842.0,0.461,False
2025,5,2025-05-01,Scoot Tigerair,Singapore,Outbound,143.0,45552.0,51147.0,0.8909999999999999,False
2025,5,2025-05-01,Sichuan Airlines,China,Outbound,35.0,9431.0,10341.0,0.912,False
2025,5,2025-05-01,Singapore Airlines,New Zealand,Outbound,14.0,,,,False
2025,5,2025-05-01,Singapore Airlines,Singapore,Outbound,646.0,153925.0,177099.0,0.8690000000000001,False
2025,5,2025-05-01,Singapore Airlines,USA,Outbound,,,,,False
2025,5,2025-05-01,Singapore Airlines,ALL SERVICES,Outbound,660.0,153925.0,177099.0,0.8690000000000001,False
2025,5,2025-05-01,Solomon Airlines,New Zealand,Outbound,5.0,229.0,735.0,0.312,False
2025,5,2025-05-01,Solomon Airlines,Solomon Islands,Outbound,13.0,1086.0,1911.0,0.568,False
2025,5,2025-05-01,Solomon Airlines,Vanuatu,Outbound,5.0,482.0,735.0,0.6559999999999999,False
2025,5,2025-05-01,Solomon Airlines,ALL SERVICES,Outbound,23.0,1797.0,3381.0,0.531,False
2025,5,2025-05-01,South African Airways,South Africa,Outbound,20.0,3404.0,5060.0,0.6729999999999999,False
2025,5,2025-05-01,SriLankan Airlines,Sri Lanka,Outbound,49.0,11593.0,14522.0,0.7979999999999999,False
2025,5,2025-05-01,Tasman Cargo Airlines,Hong Kong (SAR),Outbound,25.0,,,,False
2025,5,2025-05-01,Tasman Cargo Airlines,New Zealand,Outbound,48.0,,,,False
2025,5,2025-05-01,Tasman Cargo Airlines,ALL SERVICES,Outbound,73.0,,,,False
2025,5,2025-05-01,TransNusa,Indonesia,Outbound,18.0,1802.0,3132.0,0.575,False
2025,5,2025-05-01,Turkish Airlines,Turkey,Outbound,31.0,7119.0,10199.0,0.698,False
2025,5,2025-05-01,T'way Air,Korea,Outbound,15.0,4265.0,5205.0,0.8190000000000001,False
2025,5,2025-05-01,United Airlines,USA,Outbound,122.0,22072.0,32340.0,0.682,False
2025,5,2025-05-01,United Parcel Service,China,Outbound,14.0,,,,False
2025,5,2025-05-01,United Parcel Service,Korea,Outbound,13.0,,,,False
2025,5,2025-05-01,United Parcel Service,Singapore,Outbound,5.0,,,,False
2025,5,2025-05-01,United Parcel Service,USA,Outbound,,,,,False
2025,5,2025-05-01,United Parcel Service,ALL SERVICES,Outbound,32.0,,,,False
2025,5,2025-05-01,Vietjet Air,Vietnam,Outbound,88.0,17052.0,31118.0,0.5479999999999999,False
2025,5,2025-05-01,Vietnam Airlines,Vietnam,Outbound,85.0,21261.0,25998.0,0.818,False
2025,5,2025-05-01,Virgin Australia,Fiji,Outbound,70.0,9904.0,12596.0,0.7859999999999999,False
2025,5,2025-05-01,Virgin Australia,Indonesia,Outbound,136.0,22113.0,24626.0,0.898,False
2025,5,2025-05-01,Virgin Australia,New Zealand,Outbound,33.0,4244.0,5868.0,0.723,False
2025,5,2025-05-01,Virgin Australia,ALL SERVICES,Outbound,275.0,40455.0,49504.0,0.8170000000000001,False
2025,5,2025-05-01,Xiamen Airlines,China,Outbound,51.0,12574.0,13936.0,0.902,False
